TeamID,TeamName,abbreviation,kenpom,scrape
1304,Nebraska,NEBRASKA,Nebraska,NEBRASKA
1305,Nevada,NEVADA,Nevada,NEVADA
1424,UNLV,NEVADA-LAS VEGAS,UNLV,NEVADA-LAS VEGAS
1306,New Hampshire,NEW HAMPSHIRE,New Hampshire,NEW HAMPSHIRE
1307,New Mexico,NEW MEXICO,New Mexico,NEW MEXICO
1308,New Mexico St,NEW MEXICO STATE,New Mexico St.,NEW MEXICO STATE
1309,New Orleans,NEW ORLEANS,New Orleans,NEW ORLEANS
1310,Niagara,NIAGARA,Niagara,NIAGARA
1311,Nicholls St,NICHOLLS STATE,Nicholls St.,NICHOLLS STATE
1312,NJIT,NJIT,NJIT,NJIT
1313,Norfolk St,NORFOLK STATE,Norfolk St.,NORFOLK STATE
1466,North Alabama,NORTH ALABAMA,North Alabama,NORTH ALABAMA
1314,North Carolina,NORTH CAROLINA,North Carolina,NORTH CAROLINA
1299,NC A&T,NORTH CAROLINA A&T,North Carolina A&T,NORTH CAROLINA A&T
1300,NC Central,NORTH CAROLINA CENTRAL,North Carolina Central,NORTH CAROLINA CENTRAL
1315,North Dakota,NORTH DAKOTA,North Dakota,NORTH DAKOTA
1295,N Dakota St,NORTH DAKOTA STATE,North Dakota St.,NORTH DAKOTA STATE
1316,North Florida,NORTH FLORIDA,North Florida,NORTH FLORIDA
1317,North Texas,NORTH TEXAS,North Texas,NORTH TEXAS
1318,Northeastern,NORTHEASTERN,Northeastern,NORTHEASTERN
1319,Northern Arizona,NORTHERN ARIZONA,Northern Arizona,NORTHERN ARIZONA
1294,N Colorado,NORTHERN COLORADO,Northern Colorado,NORTHERN COLORADO
1296,N Illinois,NORTHERN ILLINOIS,Northern Illinois,NORTHERN ILLINOIS
1320,Northern Iowa,NORTHERN IOWA,Northern Iowa,NORTHERN IOWA
1297,N Kentucky,NORTHERN KENTUCKY,Northern Kentucky,NORTHERN KENTUCKY
1321,Northwestern,NORTHWESTERN,Northwestern,NORTHWESTERN
1322,Northwestern LA,NORTHWESTERN STATE,Northwestern St.,NORTHWESTERN STATE
1323,Notre Dame,NOTRE DAME,Notre Dame,NOTRE DAME
1324,Oakland,OAKLAND,Oakland,OAKLAND
1325,Ohio,OHIO,Ohio,OHIO
1326,Ohio St,OHIO STATE,Ohio St.,OHIO STATE
1327,Okla City,OKLA CITY,OKLA CITY,
1328,Oklahoma,OKLAHOMA,Oklahoma,OKLAHOMA
1329,Oklahoma St,OKLAHOMA STATE,Oklahoma St.,OKLAHOMA STATE
1330,Old Dominion,OLD DOMINION,Old Dominion,OLD DOMINION
1303,NE Omaha,OMAHA,Nebraska Omaha,OMAHA
1331,Oral Roberts,ORAL ROBERTS,Oral Roberts,ORAL ROBERTS
1332,Oregon,OREGON,Oregon,OREGON
1333,Oregon St,OREGON STATE,Oregon St.,OREGON STATE
1334,Pacific,PACIFIC,Pacific,PACIFIC
1336,Penn St,PENN STATE,Penn St.,PENN STATE
1335,Penn,PENNSYLVANIA,Penn,PENNSYLVANIA
1337,Pepperdine,PEPPERDINE,Pepperdine,PEPPERDINE
1338,Pittsburgh,PITTSBURGH,Pittsburgh,PITTSBURGH
1339,Portland,PORTLAND,Portland,PORTLAND
1340,Portland St,PORTLAND STATE,Portland St.,PORTLAND STATE
1341,Prairie View,PRAIRIE VIEW,Prairie View A&M,PRAIRIE VIEW
1342,Presbyterian,PRESBYTERIAN,Presbyterian,PRESBYTERIAN
1343,Princeton,PRINCETON,Princeton,PRINCETON
1344,Providence,PROVIDENCE,Providence,PROVIDENCE
1345,Purdue,PURDUE,Purdue,PURDUE
1236,PFW,PURDUE-FORT WAYNE,Purdue Fort Wayne,PURDUE FORT WAYNE
1474,Queens NC,QUEENS (NC),Queens,QUEENS (NC)
1346,Quinnipiac,QUINNIPIAC,Quinnipiac,QUINNIPIAC
1347,Radford,RADFORD,Radford,RADFORD
1348,Rhode Island,RHODE ISLAND,Rhode Island,RHODE ISLAND
1349,Rice,RICE,Rice,RICE
1350,Richmond,RICHMOND,Richmond,RICHMOND
1351,Rider,RIDER,Rider,RIDER
1352,Robert Morris,ROBERT MORRIS,Robert Morris,ROBERT MORRIS
1353,Rutgers,RUTGERS,Rutgers,RUTGERS
1170,CS Sacramento,SACRAMENTO STATE,Sacramento St.,SACRAMENTO STATE
1357,Sacred Heart,SACRED HEART,Sacred Heart,SACRED HEART
1384,St Francis PA,SAINT FRANCIS (PA),St. Francis PA,SAINT FRANCIS (PA)
1386,St Joseph's PA,SAINT JOSEPH'S,Saint Joseph's,SAINT JOSEPH'S
1387,St Louis,SAINT LOUIS,Saint Louis,SAINT LOUIS
1388,St Mary's CA,SAINT MARY'S (CA),Saint Mary's,SAINT MARY'S (CA)
1389,St Peter's,SAINT PETER'S,Saint Peter's,SAINT PETER'S
1358,Sam Houston St,SAM HOUSTON STATE,Sam Houston St.,SAM HOUSTON
1359,Samford,SAMFORD,Samford,SAMFORD
1360,San Diego,SAN DIEGO,San Diego,SAN DIEGO
1361,San Diego St,SAN DIEGO STATE,San Diego St.,SAN DIEGO STATE
1362,San Francisco,SAN FRANCISCO,San Francisco,SAN FRANCISCO
1363,San Jose St,SAN JOSE STATE,San Jose St.,SAN JOSE STATE
1365,Santa Clara,SANTA CLARA,Santa Clara,SANTA CLARA
1366,Savannah St,SAVANNAH STATE,Savannah St.,
1370,Seattle,SEATTLE,Seattle,SEATTLE
1371,Seton Hall,SETON HALL,Seton Hall,SETON HALL
1373,Siena,SIENA,Siena,SIENA
1188,SIUE,SIU EDWARDSVILLE,SIU Edwardsville,SIU EDWARDSVILLE
1375,South Alabama,SOUTH ALABAMA,South Alabama,SOUTH ALABAMA
1376,South Carolina,SOUTH CAROLINA,South Carolina,SOUTH CAROLINA
1354,S Carolina St,SOUTH CAROLINA STATE,South Carolina St.,SOUTH CAROLINA STATE
1367,SC Upstate,SOUTH CAROLINA UPSTATE,USC Upstate,SOUTH CAROLINA UPSTATE
1377,South Dakota,SOUTH DAKOTA,South Dakota,SOUTH DAKOTA
1355,S Dakota St,SOUTH DAKOTA STATE,South Dakota St.,SOUTH DAKOTA STATE
1378,South Florida,SOUTH FLORIDA,South Florida,SOUTH FLORIDA
1369,SE Missouri St,SOUTHEAST MISSOURI STATE,Southeast Missouri St.,SOUTHEAST MISSOURI STATE
1368,SE Louisiana,SOUTHEASTERN LOUISIANA,Southeastern Louisiana,SOUTHEASTERN LOUISIANA
1380,Southern Univ,SOUTHERN,Southern,SOUTHERN
1425,USC,SOUTHERN CALIFORNIA,USC,SOUTHERN CALIFORNIA
1356,S Illinois,SOUTHERN ILLINOIS,Southern Illinois,SOUTHERN ILLINOIS
1475,Southern Indiana,SOUTHERN INDIANA,Southern Indiana,SOUTHERN INDIANA
1374,SMU,SOUTHERN METHODIST,SMU,SOUTHERN METHODIST
1379,Southern Miss,SOUTHERN MISSISSIPPI,Southern Miss,SOUTHERN MISSISSIPPI
1381,Southern Utah,SOUTHERN UTAH,Southern Utah,SOUTHERN UTAH
1382,St Bonaventure,ST. BONAVENTURE,St. Bonaventure,ST. BONAVENTURE
1383,St Francis NY,ST. FRANCIS (NY),St. Francis NY,ST. FRANCIS (NY)
1385,St John's,ST. JOHN'S (NY),St. John's,ST. JOHN'S (NY)
1472,St Thomas MN,ST. THOMAS,St. Thomas,ST. THOMAS
1390,Stanford,STANFORD,Stanford,STANFORD
1372,SF Austin,STEPHEN F. AUSTIN,Stephen F. Austin,STEPHEN F. AUSTIN
1391,Stetson,STETSON,Stetson,STETSON
1476,Stonehill,STONEHILL,Stonehill,STONEHILL
1392,Stony Brook,STONY BROOK,Stony Brook,STONY BROOK
1393,Syracuse,SYRACUSE,Syracuse,SYRACUSE
1470,Tarleton St,TARLETON STATE,Tarleton St.,TARLETON STATE
1395,TCU,TCU,TCU,TCU
1396,Temple,TEMPLE,Temple,TEMPLE
1397,Tennessee,TENNESSEE,Tennessee,TENNESSEE
1398,Tennessee St,TENNESSEE STATE,Tennessee St.,TENNESSEE STATE
1399,Tennessee Tech,TENNESSEE TECH,Tennessee Tech,TENNESSEE TECH
1404,TN Martin,TENNESSEE-MARTIN,Tennessee Martin,TENNESSEE-MARTIN
1400,Texas,TEXAS,Texas,TEXAS
1401,Texas A&M,TEXAS A&M,Texas A&M;,TEXAS A&M
1477,TX A&M Commerce,TEXAS A&M-COMMERCE,Texas A&M; Commerce,TEXAS A&M-COMMERCE
1394,TAM C. Christi,TEXAS A&M-CORPUS CHRISTI,Texas A&M; Corpus Chris,TEXAS A&M-CORPUS CHRISTI
1411,TX Southern,TEXAS SOUTHERN,Texas Southern,TEXAS SOUTHERN
1402,Texas St,TEXAS STATE,Texas St.,TEXAS STATE
1403,Texas Tech,TEXAS TECH,Texas Tech,TEXAS TECH
1410,UTRGV,TEXAS-RIO GRANDE VALLEY,UT Rio Grande Valley,TEXAS-RIO GRANDE VALLEY
1154,Citadel,THE CITADEL,The Citadel,THE CITADEL
1405,Toledo,TOLEDO,Toledo,TOLEDO
1406,Towson,TOWSON,Towson,TOWSON
1407,Troy,TROY,Troy,TROY
1408,Tulane,TULANE,Tulane,TULANE
1409,Tulsa,TULSA,Tulsa,TULSA
1412,UAB,UAB,UAB,UAB
1413,UC Davis,UC DAVIS,UC Davis,UC DAVIS
1414,UC Irvine,UC IRVINE,UC Irvine,UC IRVINE
1415,UC Riverside,UC RIVERSIDE,UC Riverside,UC RIVERSIDE
1471,UC San Diego,UC SAN DIEGO,UC San Diego,UC SAN DIEGO
1364,UC Santa Barbara,UC SANTA BARBARA,UC Santa Barbara,UC SANTA BARBARA
1417,UCLA,UCLA,UCLA,UCLA
1421,UNC Asheville,UNC ASHEVILLE,UUNC Asheville,UNC ASHEVILLE
1422,UNC Greensboro,UNC GREENSBORO,UNC Greensboro,UNC GREENSBORO
1423,UNC Wilmington,UNC WILMINGTON,UNC Wilmington,UNC WILMINGTON
1426,UT Arlington,UT ARLINGTON,UT Arlington,UT ARLINGTON
1428,Utah,UTAH,Utah,UTAH
1429,Utah St,UTAH STATE,Utah St.,UTAH STATE
1469,Utah Tech,UTAH TECH,Utah Tech,UTAH TECH
1430,Utah Valley,UTAH VALLEY,Utah Valley,UTAH VALLEY
1431,UTEP,UTEP,UTEP,UTEP
1432,Utica,UTICA,UTICA,
1427,UT San Antonio,UTSA,UTSA,UTSA
1434,Valparaiso,VALPARAISO,Valparaiso,VALPARAISO
1435,Vanderbilt,VANDERBILT,Vanderbilt,VANDERBILT
1436,Vermont,VERMONT,Vermont,VERMONT
1437,Villanova,VILLANOVA,Villanova,VILLANOVA
1438,Virginia,VIRGINIA,Virginia,VIRGINIA
1433,VCU,VIRGINIA COMMONWEALTH,VCU,VIRGINIA COMMONWEALTH
1439,Virginia Tech,VIRGINIA TECH,Virginia Tech,VIRGINIA TECH
1440,VMI,VMI,VMI,VMI
1446,W Texas A&M,W TEXAS A&M,W TEXAS A&M,
1447,Wagner,WAGNER,Wagner,WAGNER
1448,Wake Forest,WAKE FOREST,Wake Forest,WAKE FOREST
1449,Washington,WASHINGTON,Washington,WASHINGTON
1450,Washington St,WASHINGTON STATE,Washington St.,WASHINGTON STATE
1451,Weber St,WEBER STATE,Weber St.,WEBER STATE
1452,West Virginia,WEST VIRGINIA,West Virginia,WEST VIRGINIA
1441,W Carolina,WESTERN CAROLINA,Western Carolina,WESTERN CAROLINA
1442,W Illinois,WESTERN ILLINOIS,Western Illinois,WESTERN ILLINOIS
1443,WKU,WESTERN KENTUCKY,Western Kentucky,WESTERN KENTUCKY
1444,W Michigan,WESTERN MICHIGAN,Western Michigan,WESTERN MICHIGAN
1455,Wichita St,WICHITA STATE,Wichita St.,WICHITA STATE
1456,William & Mary,WILLIAM & MARY,William & Mary,WILLIAM & MARY
1445,W Salem St,WINSTON-SALEM,WINSTON-SALEM,
1457,Winthrop,WINTHROP,Winthrop,WINTHROP
1458,Wisconsin,WISCONSIN,Wisconsin,WISCONSIN
1459,Wofford,WOFFORD,Wofford,WOFFORD
1460,Wright St,WRIGHT STATE,Wright St.,WRIGHT STATE
1461,Wyoming,WYOMING,Wyoming,WYOMING
1462,Xavier,XAVIER,Xavier,XAVIER
1463,Yale,YALE,Yale,YALE
1464,Youngstown St,YOUNGSTOWN STATE,Youngstown St.,YOUNGSTOWN STATE
